platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
ubuntu24.04-gcc,sha3-512,1048576,hash,11,100,1000,330.371091,3.303711,302.689923,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,12,100,1000,330.394895,3.303949,302.668115,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,13,100,1000,330.901384,3.309014,302.204841,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,14,100,1000,330.920456,3.309205,302.187424,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,15,100,1000,330.812430,3.308124,302.286102,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,16,100,1000,330.329806,3.303298,302.727753,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,17,100,1000,330.923989,3.309240,302.184197,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,18,100,1000,330.061837,3.300618,302.973530,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,19,100,1000,330.844565,3.308446,302.256741,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,20,100,1000,330.085778,3.300858,302.951556,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,21,100,1000,330.279306,3.302793,302.774041,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,22,100,1000,330.010803,3.300108,303.020383,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,23,100,1000,330.229551,3.302296,302.819659,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,24,100,1000,330.032365,3.300324,303.000586,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,25,100,1000,329.883851,3.298839,303.136997,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,26,100,1000,330.430161,3.304302,302.635812,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,27,100,1000,330.058325,3.300583,302.976754,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,28,100,1000,329.981763,3.299818,303.047051,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,29,100,1000,329.956638,3.299566,303.070126,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,30,100,1000,329.740132,3.297401,303.269121,64,true,gcc-13.3,Release
