platform,algorithm,operation,message_size,run,ops,latency_ms
windows-mingw64,rsa-pss-3072,verify,16KiB,11,1,0.250800
windows-mingw64,rsa-pss-3072,sign,16KiB,12,1,4.916900
windows-mingw64,rsa-pss-3072,verify,16KiB,12,1,0.236000
windows-mingw64,rsa-pss-3072,sign,16KiB,13,1,4.799300
windows-mingw64,rsa-pss-3072,verify,16KiB,13,1,0.448700
windows-mingw64,rsa-pss-3072,sign,16KiB,14,1,3.714300
windows-mingw64,rsa-pss-3072,verify,16KiB,14,1,0.177300
windows-mingw64,rsa-pss-3072,sign,16KiB,15,1,3.563700
windows-mingw64,rsa-pss-3072,verify,16KiB,15,1,0.156200
windows-mingw64,rsa-pss-3072,sign,16KiB,16,1,3.612400
windows-mingw64,rsa-pss-3072,verify,16KiB,16,1,0.182700
windows-mingw64,rsa-pss-3072,sign,16KiB,17,1,3.569200
windows-mingw64,rsa-pss-3072,verify,16KiB,17,1,0.148700
windows-mingw64,rsa-pss-3072,sign,16KiB,18,1,3.817000
windows-mingw64,rsa-pss-3072,verify,16KiB,18,1,0.175500
windows-mingw64,rsa-pss-3072,sign,16KiB,19,1,3.576700
windows-mingw64,rsa-pss-3072,verify,16KiB,19,1,0.145700
windows-mingw64,rsa-pss-3072,sign,16KiB,20,1,3.540600
windows-mingw64,rsa-pss-3072,verify,16KiB,20,1,0.143000
windows-mingw64,rsa-pss-3072,sign,16KiB,21,1,3.571500
windows-mingw64,rsa-pss-3072,verify,16KiB,21,1,0.142200
windows-mingw64,rsa-pss-3072,sign,16KiB,22,1,4.338400
windows-mingw64,rsa-pss-3072,verify,16KiB,22,1,0.177300
windows-mingw64,rsa-pss-3072,sign,16KiB,23,1,3.570900
windows-mingw64,rsa-pss-3072,verify,16KiB,23,1,0.148100
windows-mingw64,rsa-pss-3072,sign,16KiB,24,1,3.558200
windows-mingw64,rsa-pss-3072,verify,16KiB,24,1,0.144000
