platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
ubuntu-linux,ccm,encrypt,1048576,30,100,2.041081593,2.040591320,0.002702468,0.000967066,489.937147,490.054032,0.647630,0.231751
ubuntu-linux,ccm,decrypt,1048576,30,100,2.069867337,2.069163570,0.002613517,0.000935235,483.123494,483.287071,0.609219,0.218006
ubuntu-linux,ccm,encrypt,8388608,30,100,27.973936742,27.995826990,0.089702894,0.032099768,285.983336,285.756874,0.919652,0.329093
ubuntu-linux,ccm,decrypt,8388608,30,100,31.580546014,31.577453720,0.130363253,0.046649891,253.324695,253.345331,1.048851,0.375327
ubuntu-linux,xts,encrypt,1024,30,100,0.002588095,0.002552590,0.000170456,0.000060997,378.524643,382.577112,18.801282,6.727952
ubuntu-linux,xts,decrypt,1024,30,100,0.002980949,0.002532405,0.002464302,0.000881839,375.053112,385.626802,59.503781,21.293154
ubuntu-linux,xts,encrypt,4096,30,100,0.007525516,0.007492480,0.000159194,0.000056967,519.271662,521.356083,9.993043,3.575965
ubuntu-linux,xts,decrypt,4096,30,100,0.007431028,0.007455160,0.000060805,0.000021759,525.701725,523.965953,4.322658,1.546843
ubuntu-linux,xts,encrypt,16384,30,100,0.024432773,0.024358740,0.000368198,0.000131758,639.641347,641.453540,9.025952,3.229896
ubuntu-linux,xts,decrypt,16384,30,100,0.024364359,0.024030735,0.001091136,0.000390458,642.410231,650.208994,25.532861,9.136817
ubuntu-linux,xts,encrypt,262144,30,100,0.387815829,0.387223195,0.001312380,0.000469629,644.642977,645.622481,2.168279,0.775909
ubuntu-linux,xts,decrypt,262144,30,100,0.388168002,0.387940730,0.001118813,0.000400362,644.056169,644.428339,1.845928,0.660557
ubuntu-linux,xts,encrypt,1048576,30,100,1.434670307,1.433752000,0.005024085,0.001797846,697.032479,697.470715,2.429728,0.869467
ubuntu-linux,xts,decrypt,1048576,30,100,1.443110300,1.441837150,0.007401331,0.002648532,692.965186,693.559602,3.521991,1.260328
ubuntu-linux,xts,encrypt,8388608,30,100,12.329843709,12.326816120,0.021672737,0.007755489,648.834153,648.991591,1.131344,0.404846
ubuntu-linux,xts,decrypt,8388608,30,100,12.517666427,12.513967740,0.013091338,0.004684675,639.097430,639.285652,0.667055,0.238702
