platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows,gcm,decrypt,16384,30,100,0.018558933,0.018353500,0.000746730,0.000267214,843.182880,851.363332,32.694760,11.699670
windows,gcm,encrypt,262144,30,100,0.209452967,0.205123500,0.012297646,0.004400656,1197.051122,1218.778427,61.209218,21.903437
windows,gcm,decrypt,262144,30,100,0.232313733,0.219293500,0.024574541,0.008793886,1086.505052,1140.038453,101.865983,36.452274
windows,gcm,encrypt,1048576,30,100,2.142170900,2.128022000,0.304862293,0.109093571,474.848293,469.920859,59.396430,21.254739
windows,gcm,decrypt,1048576,30,100,2.151261267,2.125763500,0.115360285,0.041281148,465.996213,470.427815,22.324373,7.988674
windows,gcm,encrypt,8388608,30,100,16.861240167,15.862934500,2.125090259,0.760453783,481.321848,504.389621,56.455820,20.202456
windows,gcm,decrypt,8388608,30,100,15.662264433,15.294046000,1.109989593,0.397204675,513.005415,523.080284,32.501584,11.630542
windows,ccm,encrypt,1024,30,100,0.006616233,0.006561500,0.000546497,0.000195561,148.587434,148.832273,12.485515,4.467884
windows,ccm,decrypt,1024,30,100,0.008409767,0.008238000,0.000575770,0.000206037,116.575216,118.543781,6.867542,2.457519
windows,ccm,encrypt,4096,30,100,0.014619567,0.014335000,0.000731019,0.000261592,267.786999,272.497449,12.306353,4.403772
windows,ccm,decrypt,4096,30,100,0.016405300,0.016113500,0.000941285,0.000336834,238.854926,242.420953,13.490764,4.827608
windows,ccm,encrypt,16384,30,100,0.047842067,0.047772000,0.002274045,0.000813757,327.305736,327.075813,15.504761,5.548308
windows,ccm,decrypt,16384,30,100,0.050147333,0.049811000,0.002246467,0.000803888,312.164473,313.685761,13.488420,4.826769
windows,ccm,encrypt,262144,30,100,0.712203800,0.705115000,0.021094110,0.007548430,351.313321,354.552881,10.140467,3.628719
windows,ccm,decrypt,262144,30,100,0.724628800,0.719868500,0.016787257,0.006007243,345.179542,347.285661,7.830579,2.802137
windows,ccm,encrypt,1048576,30,100,4.128986067,4.168496000,0.267612988,0.095764078,243.169971,239.895931,15.677467,5.610110
windows,ccm,decrypt,1048576,30,100,4.261526600,4.215630500,0.155496315,0.055643642,234.948983,237.212795,8.264492,2.957411
windows,ccm,encrypt,8388608,30,100,35.775961100,37.329602000,2.872651556,1.027965157,225.081828,214.307495,18.955739,6.783224
windows,ccm,decrypt,8388608,30,100,30.135203500,29.775129000,3.219645796,1.152135452,268.342486,268.696097,27.933234,9.995779
windows,xts,encrypt,1024,30,100,0.005829933,0.005567000,0.001284677,0.000459716,173.279523,175.420994,28.069786,10.044644
windows,xts,decrypt,1024,30,100,0.005053333,0.004861500,0.000582067,0.000208290,195.211002,200.877044,17.696482,6.332605
windows,xts,encrypt,4096,30,100,0.009458633,0.009025000,0.001560421,0.000558389,421.078281,432.825915,51.488037,18.424758
windows,xts,decrypt,4096,30,100,0.008237800,0.008157500,0.000268669,0.000096142,474.651867,478.853904,14.787666,5.291698
windows,xts,encrypt,16384,30,100,0.026957000,0.023847500,0.006962458,0.002491483,603.145938,655.208626,96.945299,34.691430
windows,xts,decrypt,16384,30,100,0.023332033,0.022513500,0.002666880,0.000954331,675.852615,694.028989,56.689098,20.285933
windows,xts,encrypt,262144,30,100,0.347232300,0.333745000,0.028114148,0.010060519,724.161739,749.075034,53.495732,19.143202
windows,xts,decrypt,262144,30,100,0.353615567,0.339301000,0.032432567,0.011605845,711.936623,736.809115,56.095344,20.073461
windows,xts,encrypt,1048576,30,100,1.907308667,1.887189000,0.062048806,0.022203880,524.823465,529.892806,16.688798,5.972010
windows,xts,decrypt,1048576,30,100,2.054473967,1.980306500,0.159237849,0.056982532,489.385544,504.973812,35.373456,12.658229
windows,xts,encrypt,8388608,30,100,16.567141533,16.377785000,0.788372401,0.282115440,483.838553,488.466548,20.776428,7.434749
windows,xts,decrypt,8388608,30,100,18.399549933,19.076532000,1.687027716,0.603695115,438.376928,419.373707,40.501228,14.493178
